GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fedora Repository Audit Module,org.fcrepo.audit,UuidPathMinter,0,41,0,0,0,5,0,3,0,3
Fedora Repository Audit Module,org.fcrepo.audit,AuditProperties,3,4,0,0,2,1,1,1,1,1
Fedora Repository Audit Module,org.fcrepo.audit,InternalAuditor,66,317,5,9,15,60,6,9,1,7
Fedora Repository Audit Module,org.fcrepo.audit,AuditNamespaces,3,0,0,0,2,0,1,0,1,0
Fedora Repository Audit Module,org.fcrepo.audit,AuditUtils,35,30,15,3,12,7,10,3,1,3
Fedora Repository Audit Module,org.fcrepo.audit,LogbackAuditor,29,0,0,0,8,0,4,0,4,0
